               data_ora        rad  temperatura
2023-04-06 23:07:36.493  -4.348581        40.35
2023-04-06 23:07:36.694  -4.331761        40.35
2023-04-06 23:07:36.895  -4.499955        40.35
2023-04-06 23:07:37.109  -4.399039        40.35
2023-04-06 23:07:37.327  -4.499955        40.35
2023-04-06 23:07:37.535  -4.247664        40.35
2023-04-06 23:07:37.743  -4.281303        40.35
2023-04-06 23:07:37.950  -4.314942        40.35
2023-04-06 23:07:38.160  -4.365400        40.35
2023-04-06 23:07:38.368  -3.978554        40.35
2023-04-06 23:07:38.576  -3.726263        40.35
2023-04-06 23:07:38.784  -4.113109        40.35
2023-04-06 23:07:39.000  -4.214025        40.35
2023-04-06 23:07:39.169  -3.911277        40.35
2023-04-06 23:07:39.376  -3.810360        40.35
2023-04-06 23:07:39.585  -4.029012        40.35
2023-04-06 23:07:39.792  -3.642166        40.35
2023-04-06 23:07:40.001  -3.608528        40.35
2023-04-06 23:07:40.209  -3.339417        40.35
2023-04-06 23:07:40.415  -3.911277        40.35
2023-04-06 23:07:40.614  -3.978554        40.35
2023-04-06 23:07:40.817  -3.860818        40.35
2023-04-06 23:07:41.027  -3.793541        40.35
2023-04-06 23:07:41.244  -3.793541        40.35
2023-04-06 23:07:41.459  -3.759902        40.35
2023-04-06 23:07:41.667  -3.843999        40.35
2023-04-06 23:07:41.874  -3.827180        40.38
2023-04-06 23:07:42.083  -4.214025        40.35
2023-04-06 23:07:42.292  -4.331761        40.35
2023-04-06 23:07:42.501  -4.617691        40.35
2023-04-06 23:07:42.709  -4.550413        40.35
2023-04-06 23:07:42.915  -4.802704        40.35
2023-04-06 23:07:43.093  -4.499955        40.35
2023-04-06 23:07:43.301  -4.281303        40.35
2023-04-06 23:07:43.509  -4.684968        40.35
2023-04-06 23:07:43.717  -4.600871        40.35
2023-04-06 23:07:43.924  -4.550413        40.35
2023-04-06 23:07:44.133  -4.197206        40.35
2023-04-06 23:07:44.335  -4.331761        40.35
2023-04-06 23:07:44.531  -4.483136        40.35
2023-04-06 23:07:44.743  -4.348581        40.35
2023-04-06 23:07:44.951  -4.853162        40.35
2023-04-06 23:07:45.159  -4.634510        40.38
2023-04-06 23:07:45.377  -4.752246        40.35
2023-04-06 23:07:45.591  -4.853162        40.35
2023-04-06 23:07:45.800  -4.886801        40.35
2023-04-06 23:07:46.008  -4.954078        40.38
2023-04-06 23:07:46.214  -5.509118        40.38
2023-04-06 23:07:46.424  -5.542757        40.38
2023-04-06 23:07:46.632  -5.710951        40.38
2023-04-06 23:07:46.839  -5.441841        40.38
2023-04-06 23:07:47.016  -5.172731        40.35
2023-04-06 23:07:47.224  -5.256827        40.35
2023-04-06 23:07:47.432  -5.357744        40.35
2023-04-06 23:07:47.641  -5.391383        40.35
2023-04-06 23:07:47.848  -5.273647        40.35
2023-04-06 23:07:48.056  -5.240008        40.38
2023-04-06 23:07:48.256  -4.987717        40.38
2023-04-06 23:07:48.456  -5.240008        40.38
2023-04-06 23:07:48.666  -4.684968        40.38
2023-04-06 23:07:48.872  -4.903620        40.38
2023-04-06 23:07:49.082  -4.701788        40.38
2023-04-06 23:07:49.295  -4.617691        40.38
2023-04-06 23:07:49.512  -4.499955        40.38
2023-04-06 23:07:49.722  -4.819523        40.38
2023-04-06 23:07:49.930  -4.651330        40.38
2023-04-06 23:07:50.139  -4.701788        40.38
2023-04-06 23:07:50.347  -4.752246        40.38
2023-04-06 23:07:50.555  -4.701788        40.38
2023-04-06 23:07:50.763  -4.819523        40.38
2023-04-06 23:07:50.939  -4.668149        40.38
2023-04-06 23:07:51.147  -4.752246        40.38
2023-04-06 23:07:51.356  -5.054995        40.38
2023-04-06 23:07:51.564  -5.172731        40.38
2023-04-06 23:07:51.772  -4.785885        40.38
2023-04-06 23:07:51.978  -5.071814        40.38
2023-04-06 23:07:52.177  -5.189550        40.38
2023-04-06 23:07:52.381  -5.105453        40.38
2023-04-06 23:07:52.589  -4.987717        40.38
2023-04-06 23:07:52.796  -5.223189        40.38
2023-04-06 23:07:53.006  -4.970898        40.38
2023-04-06 23:07:53.213  -5.307286        40.38
2023-04-06 23:07:53.430  -5.290466        40.38
2023-04-06 23:07:53.644  -5.576396        40.38
2023-04-06 23:07:53.854  -5.290466        40.38
2023-04-06 23:07:54.063  -5.172731        40.38
2023-04-06 23:07:54.270  -5.458660        40.38
2023-04-06 23:07:54.479  -5.441841        40.38
2023-04-06 23:07:54.686  -5.172731        40.38
2023-04-06 23:07:54.863  -5.559576        40.38
2023-04-06 23:07:55.071  -5.206369        40.38
2023-04-06 23:07:55.280  -5.273647        40.38
2023-04-06 23:07:55.488  -5.256827        40.38
2023-04-06 23:07:55.696  -5.391383        40.38
2023-04-06 23:07:55.898  -5.307286        40.38
2023-04-06 23:07:56.097  -5.626854        40.38
2023-04-06 23:07:56.305  -5.559576        40.38
2023-04-06 23:07:56.511  -5.593215        40.38
2023-04-06 23:07:56.720  -5.643673        40.38
2023-04-06 23:07:56.929  -5.626854        40.38
2023-04-06 23:07:57.137  -5.610035        40.38
2023-04-06 23:07:57.349  -5.340924        40.38
2023-04-06 23:07:57.567  -5.408202        40.38
2023-04-06 23:07:57.779  -5.710951        40.38
