data_ora;rad;temperatura;elevazione;;;;
2023-03-01 03:17:49.213;3305;40.38;40;;;;
2023-03-01 03:17:49.431;3323;40.38;40;;;;
2023-03-01 03:17:49.634;3290;40.38;40;;;;
2023-03-01 03:17:49.853;3296;40.38;40;;;;
2023-03-01 03:17:50.072;3308;40.38;40;;;;
2023-03-01 03:17:50.275;3307;40.38;40;;;;
2023-03-01 03:17:50.447;3297;40.38;40;;;;
2023-03-01 03:17:50.634;3314;40.38;40;;;;
2023-03-01 03:17:50.853;3306;40.41;40;;;;
2023-03-01 03:17:51.056;3297;40.41;40;;;;
2023-03-01 03:17:51.259;3300;40.38;40;;;;
2023-03-01 03:17:51.478;3307;40.38;40;;;;
2023-03-01 03:17:51.681;3289;40.38;40;;;;
2023-03-01 03:17:51.900;3304;40.38;40;;;;
2023-03-01 03:17:52.103;3301;40.38;40;;;;
2023-03-01 03:17:52.306;3306;40.38;40;;;;
2023-03-01 03:17:52.509;3309;40.38;40;;;;
2023-03-01 03:17:52.728;3289;40.38;40;;;;
2023-03-01 03:17:52.931;3302;40.38;40;;;;
2023-03-01 03:17:53.134;3311;40.38;40;;;;
2023-03-01 03:17:53.353;3301;40.38;40;;;;
2023-03-01 03:17:53.556;3302;40.41;40;;;;
2023-03-01 03:17:53.775;3304;40.38;40;;;;
2023-03-01 03:17:53.994;3303;40.38;40;;;;
2023-03-01 03:17:54.197;3309;40.38;40;;;;
2023-03-01 03:17:54.353;3293;40.38;40;;;;
2023-03-01 03:17:54.572;3309;40.38;40;;;;
2023-03-01 03:17:54.775;3304;40.38;40;;;;
2023-03-01 03:17:54.978;3301;40.38;40;;;;
2023-03-01 03:17:55.197;3311;40.38;40;;;;
2023-03-01 03:17:55.400;3297;40.38;40;;;;
2023-03-01 03:17:55.603;3312;40.38;40;;;;
2023-03-01 03:17:55.806;3300;40.38;40;;;;
2023-03-01 03:17:56.025;3324;40.38;40;;;;
2023-03-01 03:17:56.228;3305;40.38;40;;;;
2023-03-01 03:17:56.431;3310;40.38;40;;;;
2023-03-01 03:17:56.650;3323;40.38;40;;;;
2023-03-01 03:17:56.853;3304;40.38;40;;;;
2023-03-01 03:17:57.056;3302;40.38;40;;;;
2023-03-01 03:17:57.275;3322;40.38;40;;;;
2023-03-01 03:17:57.478;3308;40.38;40;;;;
2023-03-01 03:17:57.681;3320;40.38;40;;;;
2023-03-01 03:17:57.900;3317;40.38;40;;;;
2023-03-01 03:17:58.118;3303;40.38;40;;;;
2023-03-01 03:17:58.275;3324;40.38;40;;;;
2023-03-01 03:17:58.493;3304;40.38;40;;;;
2023-03-01 03:17:58.697;3327;40.38;40;;;;
2023-03-01 03:17:58.900;3300;40.35;40;;;;
2023-03-01 03:17:59.118;3299;40.35;40;;;;
2023-03-01 03:17:59.321;3327;40.35;40;;;;
2023-03-01 03:17:59.525;3313;40.35;40;;;;
2023-03-01 03:17:59.743;3322;40.35;40;;;;
2023-03-01 03:17:59.931;3319;40.35;40;;;;
2023-03-01 03:18:00.134;3318;40.35;40;;;;
2023-03-01 03:18:00.353;3319;40.35;40;;;;
2023-03-01 03:18:00.571;3311;40.35;40;;;;
2023-03-01 03:18:00.775;3322;40.35;40;;;;
2023-03-01 03:18:00.978;3326;40.35;40;;;;
2023-03-01 03:18:01.196;3299;40.35;40;;;;
2023-03-01 03:18:01.400;3310;40.35;40;;;;
2023-03-01 03:18:01.603;3316;40.35;40;;;;
2023-03-01 03:18:01.821;3291;40.35;40;;;;
2023-03-01 03:18:02.040;3304;40.35;40;;;;
2023-03-01 03:18:02.212;3296;40.35;40;;;;
2023-03-01 03:18:02.415;3302;40.35;40;;;;
2023-03-01 03:18:02.618;3305;40.35;40;;;;
2023-03-01 03:18:02.821;3285;40.35;40;;;;
2023-03-01 03:18:03.040;3306;40.35;40;;;;
2023-03-01 03:18:03.243;3288;40.35;40;;;;
2023-03-01 03:18:03.446;3291;40.35;40;;;;
2023-03-01 03:18:03.649;3290;40.32;40;;;;
2023-03-01 03:18:03.853;3305;40.35;40;;;;
2023-03-01 03:18:04.056;3298;40.32;40;;;;
2023-03-01 03:18:04.274;3316;40.32;40;;;;
2023-03-01 03:18:04.493;3294;40.32;40;;;;
2023-03-01 03:18:04.696;3309;40.32;40;;;;
2023-03-01 03:18:04.915;3306;40.32;40;;;;
2023-03-01 03:18:05.118;3304;40.32;40;;;;
2023-03-01 03:18:05.321;3282;40.32;40;;;;
2023-03-01 03:18:05.540;3288;40.32;40;;;;
2023-03-01 03:18:05.743;3283;40.32;40;;;;
2023-03-01 03:18:05.962;3314;40.32;40;;;;
2023-03-01 03:18:06.118;3309;40.32;40;;;;
2023-03-01 03:18:06.337;3313;40.32;40;;;;
2023-03-01 03:18:06.540;3307;40.32;40;;;;
2023-03-01 03:18:06.743;3305;40.32;40;;;;
2023-03-01 03:18:06.962;3314;40.32;40;;;;
2023-03-01 03:18:07.165;3315;40.32;40;;;;
2023-03-01 03:18:07.368;3311;40.32;40;;;;
2023-03-01 03:18:07.571;3300;40.32;40;;;;
2023-03-01 03:18:07.774;3309;40.32;40;;;;
2023-03-01 03:18:07.977;3309;40.32;40;;;;
2023-03-01 03:18:08.196;3323;40.32;40;;;;
2023-03-01 03:18:08.415;3323;40.32;40;;;;
2023-03-01 03:18:08.618;3323;40.32;40;;;;
2023-03-01 03:18:08.837;3308;40.32;40;;;;
2023-03-01 03:18:09.040;3315;40.32;40;;;;
2023-03-01 03:18:09.243;3317;40.32;40;;;;
2023-03-01 03:18:09.456;3309;40.32;40;;;;
2023-03-01 03:18:09.659;3306;40.32;40;;;;
2023-03-01 03:18:09.878;3277;40.32;40;;;;
2023-03-01 03:18:10.050;3299;40.32;40;;;;
2023-03-01 03:18:10.253;3301;40.32;40;;;;
2023-03-01 03:18:10.472;3327;40.29;40;;;;
2023-03-01 03:18:10.675;3293;40.29;40;;;;
2023-03-01 03:18:10.878;3303;40.29;40;;;;
