data_ora,rad,temperatura,elevazione
2023-03-01 02:06:37.455,4685,40.32,25
2023-03-01 02:06:37.658,4689,40.32,25
2023-03-01 02:06:37.877,4695,40.35,25
2023-03-01 02:06:38.080,4697,40.32,25
2023-03-01 02:06:38.283,4705,40.32,25
2023-03-01 02:06:38.502,4686,40.32,25
2023-03-01 02:06:38.674,4706,40.35,25
2023-03-01 02:06:38.893,4700,40.32,25
2023-03-01 02:06:39.096,4716,40.35,25
2023-03-01 02:06:39.299,4715,40.35,25
2023-03-01 02:06:39.502,4701,40.35,25
2023-03-01 02:06:39.721,4682,40.35,25
2023-03-01 02:06:39.924,4724,40.35,25
2023-03-01 02:06:40.127,4715,40.35,25
2023-03-01 02:06:40.330,4720,40.32,25
2023-03-01 02:06:40.533,4737,40.32,25
2023-03-01 02:06:40.736,4715,40.32,25
2023-03-01 02:06:40.955,4728,40.32,25
2023-03-01 02:06:41.174,4721,40.32,25
2023-03-01 02:06:41.377,4726,40.32,25
2023-03-01 02:06:41.595,4721,40.32,25
2023-03-01 02:06:41.799,4695,40.32,25
2023-03-01 02:06:42.002,4698,40.32,25
2023-03-01 02:06:42.205,4715,40.32,25
2023-03-01 02:06:42.424,4692,40.32,25
2023-03-01 02:06:42.642,4712,40.32,25
2023-03-01 02:06:42.799,4699,40.32,25
2023-03-01 02:06:43.017,4691,40.32,25
2023-03-01 02:06:43.220,4697,40.32,25
2023-03-01 02:06:43.423,4719,40.32,25
2023-03-01 02:06:43.642,4696,40.32,25
2023-03-01 02:06:43.845,4687,40.32,25
2023-03-01 02:06:44.048,4698,40.32,25
2023-03-01 02:06:44.252,4700,40.32,25
2023-03-01 02:06:44.455,4713,40.32,25
2023-03-01 02:06:44.658,4695,40.32,25
2023-03-01 02:06:44.877,4689,40.32,25
2023-03-01 02:06:45.095,4695,40.32,25
2023-03-01 02:06:45.298,4691,40.32,25
2023-03-01 02:06:45.501,4689,40.32,25
2023-03-01 02:06:45.720,4714,40.32,25
2023-03-01 02:06:45.923,4711,40.32,25
2023-03-01 02:06:46.142,4700,40.32,25
2023-03-01 02:06:46.345,4716,40.32,25
2023-03-01 02:06:46.548,4715,40.32,25
2023-03-01 02:06:46.720,4693,40.32,25
2023-03-01 02:06:46.939,4695,40.32,25
2023-03-01 02:06:47.142,4694,40.32,25
2023-03-01 02:06:47.361,4698,40.32,25
2023-03-01 02:06:47.548,4705,40.32,25
2023-03-01 02:06:47.767,4706,40.32,25
2023-03-01 02:06:47.970,4699,40.32,25
2023-03-01 02:06:48.173,4702,40.32,25
2023-03-01 02:06:48.376,4689,40.32,25
2023-03-01 02:06:48.579,4714,40.32,25
2023-03-01 02:06:48.798,4700,40.32,25
2023-03-01 02:06:49.017,4717,40.32,25
2023-03-01 02:06:49.220,4694,40.32,25
2023-03-01 02:06:49.439,4695,40.32,25
2023-03-01 02:06:49.642,4700,40.32,25
2023-03-01 02:06:49.845,4712,40.32,25
2023-03-01 02:06:50.064,4694,40.32,25
2023-03-01 02:06:50.267,4706,40.32,25
2023-03-01 02:06:50.470,4694,40.32,25
2023-03-01 02:06:50.642,4719,40.32,25
2023-03-01 02:06:50.860,4697,40.32,25
2023-03-01 02:06:51.064,4700,40.32,25
2023-03-01 02:06:51.267,4722,40.32,25
2023-03-01 02:06:51.485,4713,40.32,25
2023-03-01 02:06:51.689,4724,40.32,25
2023-03-01 02:06:51.892,4743,40.32,25
2023-03-01 02:06:52.095,4744,40.32,25
2023-03-01 02:06:52.298,4742,40.32,25
2023-03-01 02:06:52.501,4728,40.32,25
2023-03-01 02:06:52.704,4753,40.32,25
2023-03-01 02:06:52.938,4759,40.32,25
2023-03-01 02:06:53.142,4757,40.29,25
2023-03-01 02:06:53.360,4746,40.29,25
2023-03-01 02:06:53.563,4752,40.29,25
2023-03-01 02:06:53.767,4781,40.29,25
2023-03-01 02:06:53.985,4772,40.29,25
2023-03-01 02:06:54.188,4770,40.29,25
2023-03-01 02:06:54.392,4753,40.29,25
2023-03-01 02:06:54.563,4763,40.29,25
2023-03-01 02:06:54.767,4735,40.29,25
2023-03-01 02:06:54.985,4759,40.29,25
2023-03-01 02:06:55.188,4747,40.29,25
2023-03-01 02:06:55.407,4743,40.29,25
2023-03-01 02:06:55.610,4746,40.29,25
2023-03-01 02:06:55.813,4760,40.29,25
2023-03-01 02:06:56.016,4762,40.29,25
2023-03-01 02:06:56.220,4752,40.29,25
2023-03-01 02:06:56.438,4741,40.29,25
2023-03-01 02:06:56.641,4744,40.29,25
2023-03-01 02:06:56.844,4747,40.29,25
2023-03-01 02:06:57.063,4748,40.29,25
2023-03-01 02:06:57.266,4763,40.29,25
2023-03-01 02:06:57.485,4746,40.29,25
2023-03-01 02:06:57.688,4731,40.29,25
2023-03-01 02:06:57.907,4749,40.29,25
2023-03-01 02:06:58.110,4759,40.29,25
2023-03-01 02:06:58.313,4737,40.29,25
2023-03-01 02:06:58.532,4744,40.29,25
2023-03-01 02:06:58.704,4741,40.29,25
2023-03-01 02:06:58.907,4755,40.29,25
2023-03-01 02:06:59.110,4762,40.29,25
2023-03-01 02:06:59.329,4744,40.26,25
2023-03-01 02:06:59.532,4765,40.26,25
2023-03-01 02:06:59.735,4764,40.26,25
2023-03-01 02:06:59.938,4746,40.26,25
2023-03-01 02:07:00.141,4731,40.26,25
2023-03-01 02:07:00.360,4749,40.26,25
2023-03-01 02:07:00.563,4758,40.26,25
2023-03-01 02:07:00.766,4751,40.26,25
2023-03-01 02:07:00.969,4748,40.26,25
2023-03-01 02:07:01.188,4769,40.26,25
2023-03-01 02:07:01.407,4733,40.26,25
2023-03-01 02:07:01.610,4742,40.26,25
2023-03-01 02:07:01.829,4750,40.26,25
2023-03-01 02:07:02.032,4736,40.26,25
2023-03-01 02:07:02.235,4730,40.26,25
