rad;T;elevaz;;;
3160;40.29;40;;;
3153;40.29;40;;;
3156;40.29;40;;;
3153;40.29;40;;;
3164;40.29;40;;;
3181;40.29;40;;;
3177;40.29;40;;;
3189;40.29;40;;;
3177;40.32;40;;;
3214;40.32;40;;;
3243;40.32;40;;;
3245;40.32;40;;;
3247;40.32;40;;;
3250;40.32;40;;;
3237;40.32;40;;;
3233;40.32;40;;;
3222;40.32;40;;;
3202;40.32;40;;;
3184;40.32;40;;;
3185;40.32;40;;;
3178;40.32;40;;;
3207;40.32;40;;;
3205;40.32;40;;;
3211;40.32;40;;;
3224;40.35;40;;;
3221;40.32;40;;;
3213;40.32;40;;;
3200;40.32;40;;;
3180;40.32;40;;;
3177;40.32;40;;;
3174;40.32;40;;;
3167;40.32;40;;;
3141;40.32;40;;;
3150;40.32;40;;;
3163;40.35;40;;;
3179;40.32;40;;;
3173;40.32;40;;;
3198;40.35;40;;;
3184;40.35;40;;;
3194;40.35;40;;;
3198;40.35;40;;;
3185;40.35;40;;;
3180;40.35;40;;;
3173;40.35;40;;;
3151;40.35;40;;;
3147;40.35;40;;;
3126;40.35;40;;;
3126;40.35;40;;;
3103;40.35;40;;;
3095;40.35;40;;;
3089;40.35;40;;;
3101;40.35;40;;;
3095;40.35;40;;;
3100;40.35;40;;;
3085;40.35;40;;;
3118;40.35;40;;;
3124;40.35;40;;;
3144;40.35;40;;;
3128;40.38;40;;;
3116;40.38;40;;;
3118;40.38;40;;;
3095;40.38;40;;;
3096;40.38;40;;;
3117;40.38;40;;;
3106;40.38;40;;;
3102;40.38;40;;;
3097;40.38;40;;;
3111;40.38;40;;;
3112;40.38;40;;;
3108;40.38;40;;;
3110;40.38;40;;;
3111;40.38;40;;;
3069;40.38;40;;;
3102;40.38;40;;;
3114;40.38;40;;;
3102;40.38;40;;;
3119;40.38;40;;;
3092;40.38;40;;;
3101;40.38;40;;;
3091;40.38;40;;;
3067;40.38;40;;;
3069;40.38;40;;;
3076;40.38;40;;;
3075;40.38;40;;;
3083;40.38;40;;;
3099;40.38;40;;;
3105;40.38;40;;;
3108;40.38;40;;;
3117;40.38;40;;;
3114;40.38;40;;;
3102;40.38;40;;;
3112;40.38;40;;;
3117;40.38;40;;;
3107;40.38;40;;;
3097;40.38;40;;;
3110;40.35;40;;;
3108;40.35;40;;;
3095;40.35;40;;;
3094;40.38;40;;;
3089;40.38;40;;;
3106;40.38;40;;;
3097;40.38;40;;;
3083;40.35;40;;;
3088;40.35;40;;;
3112;40.35;40;;;
3115;40.35;40;;;
3110;40.35;40;;;
3101;40.35;40;;;
3135;40.35;40;;;
3143;40.35;40;;;
3141;40.35;40;;;
3136;40.35;40;;;
3169;40.35;40;;;
3140;40.35;40;;;
3152;40.35;40;;;
3176;40.35;40;;;
3164;40.35;40;;;
3140;40.35;40;;;
3145;40.35;40;;;
3141;40.35;40;;;
3138;40.35;40;;;
3145;40.35;40;;;
3111;40.35;40;;;
3112;40.35;40;;;
3117;40.35;40;;;
3091;40.32;40;;;
3100;40.32;40;;;
3108;40.32;40;;;
3083;40.32;40;;;
3073;40.32;40;;;
3075;40.32;40;;;
3087;40.32;40;;;
3059;40.32;40;;;
3054;40.32;40;;;
3059;40.32;40;;;
3049;40.32;40;;;
3043;40.32;40;;;
3061;40.32;40;;;
3049;40.32;40;;;
3037;40.32;40;;;
3023;40.32;40;;;
3037;40.32;40;;;
3007;40.32;40;;;
3014;40.32;40;;;
3000;40.32;40;;;
2998;40.32;40;;;
3003;40.32;40;;;
2990;40.32;40;;;
2995;40.32;40;;;
2994;40.32;40;;;
2991;40.32;40;;;
2994;40.32;40;;;
2981;40.32;40;;;
3002;40.32;40;;;
2991;40.32;40;;;
3016;40.32;40;;;
3024;40.29;40;;;
3026;40.29;40;;;
3013;40.29;40;;;
3004;40.29;40;;;
2994;40.29;40;;;
3000;40.29;40;;;
2983;40.29;40;;;
3001;40.29;40;;;
2971;40.29;40;;;
2987;40.29;40;;;
2974;40.29;40;;;
