data;ora;rad;T;elevazione;;;media;dev std;
19/01/2023;02:30:54.809;3663;40.32;20;;;;;
19/01/2023;02:30:55.017;3673;40.32;20;;;;;
19/01/2023;02:30:55.237;3662;40.32;20;;;;;
19/01/2023;02:30:55.450;3662;40.32;20;;;;;
19/01/2023;02:30:55.613;3678;40.32;20;;;;;
19/01/2023;02:30:55.818;3661;40.32;20;;;;;
19/01/2023;02:30:56.025;3684;40.32;20;;;;;
19/01/2023;02:30:56.232;3672;40.32;20;;;;;
19/01/2023;02:30:56.441;3679;40.32;20;;;;;
19/01/2023;02:30:56.650;3673;40.32;20;;;;;
19/01/2023;02:30:56.857;3681;40.32;20;;;;;
19/01/2023;02:30:57.066;3674;40.32;20;;;;;
19/01/2023;02:30:57.273;3691;40.32;20;;;;;
19/01/2023;02:30:57.476;3684;40.32;20;;;;;
19/01/2023;02:30:57.691;3673;40.32;20;;;;;
19/01/2023;02:30:57.898;3685;40.32;20;;;;;
19/01/2023;02:30:58.107;3692;40.32;20;;;;;
19/01/2023;02:30:58.315;3699;40.32;20;;;;;
19/01/2023;02:30:58.522;3691;40.32;20;;;;;
19/01/2023;02:30:58.731;3704;40.32;20;;;;;
19/01/2023;02:30:58.940;3696;40.32;20;;;;;
19/01/2023;02:30:59.148;3683;40.32;20;;;;;
19/01/2023;02:30:59.367;3696;40.32;20;;;;;
19/01/2023;02:30:59.532;3694;40.32;20;;;;;
19/01/2023;02:30:59.740;3668;40.32;20;;;;;
19/01/2023;02:30:59.948;3671;40.32;20;;;;;
19/01/2023;02:31:00.155;3682;40.32;20;;;;;
19/01/2023;02:31:00.363;3681;40.32;20;;;;;
19/01/2023;02:31:00.572;3667;40.29;20;;;;;
19/01/2023;02:31:00.780;3677;40.29;20;;;;;
19/01/2023;02:31:00.988;3676;40.29;20;;;;;
19/01/2023;02:31:01.194;3657;40.29;20;;;;;
19/01/2023;02:31:01.404;3646;40.29;20;;;;;
19/01/2023;02:31:01.603;3658;40.29;20;;;;;
19/01/2023;02:31:01.819;3673;40.29;20;;;;;
19/01/2023;02:31:02.028;3639;40.29;20;;;;;
19/01/2023;02:31:02.237;3659;40.29;20;;;;;
19/01/2023;02:31:02.446;3640;40.29;20;;;;;
19/01/2023;02:31:02.654;3625;40.29;20;;;;;
19/01/2023;02:31:02.862;3648;40.29;20;;;;;
19/01/2023;02:31:03.070;3637;40.29;20;;;;;
19/01/2023;02:31:03.279;3651;40.29;20;;;;;
19/01/2023;02:31:03.491;3649;40.29;20;;;;;
19/01/2023;02:31:03.662;3624;40.29;20;;;;;
19/01/2023;02:31:03.870;3630;40.29;20;;;;;
19/01/2023;02:31:04.078;3633;40.29;20;;;;;
19/01/2023;02:31:04.292;3615;40.29;20;;;;;
19/01/2023;02:31:04.494;3603;40.29;20;;;;;
19/01/2023;02:31:04.702;3632;40.26;20;;;;;
19/01/2023;02:31:04.910;3617;40.26;20;;;;;
19/01/2023;02:31:05.113;3612;40.26;20;;;;;
19/01/2023;02:31:05.309;3614;40.26;20;;;;;
19/01/2023;02:31:05.519;3600;40.26;20;;;;;
19/01/2023;02:31:05.728;3593;40.26;20;;;;;
19/01/2023;02:31:05.944;3595;40.26;20;;;;;
19/01/2023;02:31:06.159;3604;40.26;20;;;;;
19/01/2023;02:31:06.366;3613;40.26;20;;;;;
19/01/2023;02:31:06.575;3616;40.26;20;;;;;
19/01/2023;02:31:06.783;3615;40.26;20;;;;;
19/01/2023;02:31:06.990;3597;40.26;20;;;;;
19/01/2023;02:31:07.198;3615;40.26;20;;;;;
19/01/2023;02:31:07.408;3610;40.26;20;;;;;
19/01/2023;02:31:07.616;3622;40.26;20;;;;;
19/01/2023;02:31:07.792;3637;40.26;20;;;;;
19/01/2023;02:31:08.001;3604;40.22;20;;;;;
19/01/2023;02:31:08.208;3610;40.22;20;;;;;
19/01/2023;02:31:08.415;3610;40.22;20;;;;;
19/01/2023;02:31:08.625;3610;40.22;20;;;;;
19/01/2023;02:31:08.832;3609;40.22;20;;;;;
19/01/2023;02:31:09.032;3613;40.22;20;;;;;
19/01/2023;02:31:09.233;3614;40.22;20;;;;;
19/01/2023;02:31:09.440;3618;40.22;20;;;;;
19/01/2023;02:31:09.647;3611;40.22;20;;;;;
19/01/2023;02:31:09.859;3617;40.22;20;;;;;
19/01/2023;02:31:10.065;3621;40.22;20;;;;;
19/01/2023;02:31:10.283;3622;40.22;20;;;;;
19/01/2023;02:31:10.499;3623;40.22;20;;;;;
19/01/2023;02:31:10.706;3643;40.22;20;;;;;
19/01/2023;02:31:10.912;3633;40.22;20;;;;;
19/01/2023;02:31:11.122;3643;40.22;20;;;;;
19/01/2023;02:31:11.331;3648;40.22;20;;;;;
19/01/2023;02:31:11.538;3652;40.22;20;;;;;
19/01/2023;02:31:11.747;3630;40.22;20;;;;;
19/01/2023;02:31:11.923;3654;40.22;20;;;;;
19/01/2023;02:31:12.132;3664;40.22;20;;;;;
19/01/2023;02:31:12.356;3645;40.22;20;;;;;
19/01/2023;02:31:12.564;3657;40.22;20;;;;;
19/01/2023;02:31:12.755;3658;40.22;20;;;;;
19/01/2023;02:31:12.963;3646;40.22;20;;;;;
19/01/2023;02:31:13.156;3660;40.22;20;;;;;
