rad;T;elevazione;;media;dev std
3155;40.29;30;;;
3161;40.29;30;;;
3160;40.29;30;;;
3162;40.29;30;;;
3153;40.29;30;;;
3153;40.29;30;;;
3167;40.29;30;;;
3176;40.29;30;;;
3159;40.29;30;;;
3162;40.29;30;;;
3156;40.29;30;;;
3151;40.29;30;;;
3147;40.29;30;;;
3171;40.29;30;;;
3162;40.29;30;;;
3163;40.29;30;;;
3158;40.29;30;;;
3166;40.29;30;;;
3159;40.29;30;;;
3152;40.29;30;;;
3153;40.32;30;;;
3155;40.32;30;;;
3143;40.32;30;;;
3134;40.32;30;;;
3137;40.32;30;;;
3128;40.32;30;;;
3139;40.32;30;;;
3156;40.32;30;;;
3157;40.32;30;;;
3168;40.32;30;;;
3166;40.32;30;;;
3159;40.32;30;;;
3150;40.32;30;;;
3160;40.32;30;;;
3136;40.32;30;;;
3143;40.32;30;;;
3140;40.32;30;;;
3125;40.32;30;;;
3134;40.32;30;;;
3146;40.32;30;;;
3133;40.32;30;;;
3142;40.32;30;;;
3148;40.32;30;;;
3136;40.32;30;;;
3152;40.32;30;;;
3170;40.32;30;;;
3158;40.32;30;;;
3161;40.32;30;;;
3166;40.32;30;;;
3172;40.32;30;;;
3166;40.32;30;;;
3164;40.32;30;;;
3166;40.32;30;;;
3172;40.32;30;;;
3169;40.32;30;;;
3164;40.32;30;;;
3169;40.32;30;;;
3168;40.32;30;;;
3164;40.32;30;;;
3170;40.32;30;;;
3183;40.32;30;;;
3173;40.32;30;;;
3182;40.32;30;;;
3170;40.32;30;;;
3179;40.32;30;;;
3174;40.32;30;;;
3186;40.32;30;;;
3179;40.32;30;;;
3166;40.32;30;;;
3171;40.32;30;;;
3177;40.32;30;;;
3185;40.32;30;;;
3172;40.32;30;;;
3193;40.32;30;;;
3191;40.32;30;;;
3177;40.32;30;;;
3181;40.32;30;;;
3186;40.32;30;;;
3212;40.32;30;;;
3222;40.32;30;;;
3218;40.32;30;;;
3216;40.32;30;;;
3221;40.32;30;;;
3215;40.32;30;;;
3213;40.32;30;;;
3184;40.32;30;;;
3192;40.32;30;;;
3197;40.32;30;;;
3197;40.32;30;;;
3199;40.32;30;;;
3193;40.32;30;;;
3171;40.32;30;;;
3183;40.32;30;;;
3199;40.32;30;;;
3189;40.32;30;;;
3178;40.32;30;;;
3164;40.32;30;;;
3187;40.32;30;;;
3183;40.32;30;;;
3196;40.32;30;;;
3188;40.32;30;;;
3209;40.32;30;;;
3201;40.32;30;;;
3182;40.32;30;;;
3181;40.32;30;;;
3166;40.32;30;;;
3151;40.32;30;;;
3152;40.32;30;;;
3154;40.32;30;;;
3157;40.32;30;;;
3142;40.32;30;;;
3143;40.32;30;;;
3137;40.32;30;;;
3137;40.32;30;;;
3137;40.32;30;;;
3141;40.32;30;;;
3145;40.32;30;;;
3132;40.32;30;;;
3125;40.32;30;;;
3125;40.32;30;;;
3126;40.32;30;;;
3110;40.32;30;;;
3112;40.29;30;;;
3116;40.32;30;;;
3100;40.32;30;;;
3112;40.29;30;;;
3094;40.29;30;;;
3096;40.29;30;;;
3102;40.29;30;;;
3102;40.32;30;;;
3103;40.32;30;;;
3097;40.32;30;;;
3113;40.32;30;;;
3097;40.32;30;;;
3083;40.32;30;;;
3098;40.32;30;;;
3097;40.32;30;;;
3111;40.32;30;;;
3103;40.32;30;;;
3113;40.32;30;;;
3106;40.29;30;;;
3090;40.32;30;;;
3095;40.32;30;;;
3090;40.32;30;;;
3114;40.32;30;;;
3122;40.32;30;;;
3137;40.29;30;;;
3125;40.29;30;;;
3099;40.29;30;;;
3100;40.29;30;;;
3102;40.29;30;;;
3086;40.29;30;;;
3085;40.29;30;;;
3103;40.29;30;;;
3117;40.29;30;;;
3119;40.29;30;;;
3116;40.29;30;;;
3115;40.29;30;;;
3092;40.29;30;;;
3097;40.29;30;;;
3102;40.29;30;;;
3112;40.29;30;;;
3146;40.29;30;;;
3132;40.29;30;;;
3140;40.29;30;;;
3129;40.29;30;;;
3142;40.29;30;;;
3122;40.29;30;;;
3123;40.29;30;;;
3117;40.29;30;;;
3133;40.29;30;;;
3122;40.29;30;;;
3144;40.29;30;;;
3150;40.29;30;;;
3161;40.29;30;;;
3132;40.29;30;;;
3148;40.29;30;;;
3136;40.29;30;;;
3140;40.29;30;;;
3133;40.29;30;;;
3144;40.29;30;;;
3151;40.29;30;;;
3143;40.29;30;;;
3168;40.29;30;;;
3146;40.29;30;;;
3164;40.29;30;;;
3138;40.29;30;;;
3155;40.29;30;;;
3138;40.29;30;;;
3136;40.29;30;;;
3140;40.29;30;;;
3149;40.29;30;;;
3130;40.29;30;;;
3138;40.26;30;;;
3141;40.29;30;;;
3146;40.26;30;;;
3150;40.26;30;;;
3161;40.26;30;;;
3163;40.26;30;;;
3154;40.26;30;;;
3146;40.26;30;;;
3147;40.26;30;;;
3122;40.26;30;;;
3139;40.26;30;;;
3147;40.26;30;;;
3159;40.26;30;;;
3154;40.26;30;;;
3148;40.26;30;;;
3129;40.26;30;;;
3127;40.26;30;;;
3144;40.26;30;;;
3148;40.26;30;;;
3144;40.26;30;;;
3136;40.26;30;;;
3133;40.26;30;;;
3135;40.26;30;;;
3118;40.26;30;;;
3131;40.26;30;;;
3111;40.26;30;;;
3109;40.26;30;;;
3109;40.26;30;;;
3105;40.26;30;;;
3107;40.26;30;;;
3134;40.26;30;;;
3129;40.26;30;;;
3118;40.26;30;;;
3127;40.26;30;;;
3128;40.26;30;;;
3124;40.26;30;;;
3121;40.26;30;;;
3130;40.26;30;;;
3102;40.26;30;;;
3120;40.26;30;;;
3114;40.26;30;;;
3101;40.26;30;;;
3103;40.26;30;;;
3095;40.26;30;;;
3093;40.26;30;;;
3104;40.26;30;;;
3102;40.26;30;;;
3114;40.26;30;;;
3099;40.26;30;;;
3104;40.26;30;;;
3119;40.26;30;;;
3112;40.26;30;;;
3129;40.26;30;;;
3109;40.26;30;;;
3130;40.26;30;;;
3120;40.26;30;;;
3127;40.26;30;;;
3125;40.26;30;;;
3139;40.26;30;;;
3153;40.26;30;;;
3143;40.26;30;;;
3147;40.26;30;;;
3144;40.26;30;;;
3152;40.26;30;;;
3165;40.29;30;;;
3153;40.29;30;;;
3185;40.26;30;;;
3190;40.29;30;;;
3204;40.26;30;;;
3205;40.29;30;;;
3197;40.29;30;;;
3216;40.29;30;;;
3214;40.29;30;;;
3204;40.29;30;;;
3203;40.29;30;;;
3197;40.29;30;;;
3205;40.29;30;;;
3200;40.29;30;;;
3198;40.29;30;;;
3182;40.29;30;;;
3195;40.29;30;;;
3210;40.29;30;;;
3192;40.29;30;;;
3182;40.29;30;;;
3174;40.29;30;;;
3174;40.29;30;;;
3178;40.29;30;;;
3192;40.29;30;;;
3180;40.29;30;;;
3187;40.29;30;;;
3199;40.29;30;;;
3195;40.29;30;;;
3192;40.29;30;;;
3173;40.29;30;;;
3202;40.29;30;;;
3198;40.29;30;;;
3213;40.29;30;;;
3209;40.29;30;;;
3197;40.29;30;;;
3192;40.29;30;;;
3192;40.29;30;;;
3198;40.29;30;;;
3199;40.29;30;;;
3199;40.29;30;;;
3204;40.29;30;;;
3188;40.29;30;;;
3188;40.29;30;;;
3204;40.29;30;;;
3198;40.29;30;;;
3190;40.29;30;;;
3196;40.29;30;;;
3194;40.29;30;;;
3195;40.29;30;;;
3206;40.29;30;;;
3192;40.32;30;;;
3192;40.29;30;;;
3186;40.29;30;;;
3173;40.29;30;;;
3188;40.32;30;;;
3206;40.29;30;;;
3190;40.32;30;;;
3201;40.32;30;;;
3210;40.32;30;;;
3234;40.32;30;;;
3239;40.32;30;;;
3225;40.32;30;;;
3232;40.32;30;;;
3217;40.32;30;;;
3223;40.32;30;;;
3219;40.32;30;;;
3224;40.32;30;;;
3216;40.32;30;;;
3209;40.32;30;;;
3230;40.32;30;;;
3211;40.32;30;;;
3233;40.32;30;;;
3219;40.32;30;;;
3220;40.32;30;;;
3211;40.32;30;;;
3205;40.32;30;;;
3210;40.32;30;;;
3196;40.32;30;;;
3196;40.32;30;;;
3222;40.32;30;;;
3190;40.32;30;;;
3192;40.32;30;;;
3175;40.32;30;;;
3188;40.35;30;;;
3167;40.35;30;;;
3176;40.35;30;;;
3190;40.35;30;;;
3193;40.35;30;;;
3197;40.35;30;;;
3187;40.35;30;;;
3205;40.35;30;;;
3206;40.35;30;;;
3203;40.35;30;;;
3195;40.35;30;;;
3197;40.35;30;;;
3196;40.35;30;;;
3186;40.35;30;;;
3180;40.35;30;;;
3181;40.35;30;;;
3163;40.35;30;;;
3178;40.35;30;;;
3164;40.35;30;;;
3153;40.35;30;;;
3139;40.35;30;;;
3136;40.35;30;;;
3124;40.35;30;;;
3131;40.35;30;;;
3123;40.35;30;;;
3130;40.35;30;;;
3160;40.35;30;;;
3151;40.35;30;;;
3158;40.35;30;;;
3154;40.35;30;;;
3168;40.35;30;;;
3150;40.35;30;;;
3150;40.35;30;;;
3182;40.35;30;;;
3161;40.35;30;;;
3165;40.35;30;;;
3168;40.35;30;;;
3162;40.35;30;;;
3140;40.35;30;;;
3137;40.35;30;;;
3151;40.35;30;;;
3141;40.35;30;;;
3129;40.35;30;;;
3123;40.35;30;;;
3121;40.35;30;;;
3123;40.35;30;;;
3133;40.35;30;;;
3141;40.35;30;;;
3123;40.35;30;;;
3125;40.35;30;;;
3133;40.35;30;;;
3133;40.35;30;;;
3129;40.35;30;;;
3149;40.35;30;;;
3142;40.35;30;;;
3137;40.35;30;;;
3122;40.35;30;;;
3144;40.35;30;;;
3148;40.35;30;;;
3131;40.35;30;;;
3145;40.32;30;;;
3119;40.32;30;;;
3140;40.32;30;;;
3126;40.32;30;;;
3145;40.32;30;;;
3139;40.32;30;;;
3124;40.32;30;;;
3124;40.32;30;;;
3125;40.32;30;;;
3136;40.32;30;;;
3137;40.32;30;;;
3118;40.32;30;;;
3126;40.32;30;;;
3119;40.32;30;;;
