               data_ora        rad  temperatura elevazione
2023-03-27 01:45:19.104 -28.344948        40.38         50
2023-03-27 01:45:19.311 -28.765408        40.38         50
2023-03-27 01:45:19.520 -29.034503        40.38         50
2023-03-27 01:45:19.729 -28.328130        40.38         50
2023-03-27 01:45:19.937 -28.614042        40.35         50
2023-03-27 01:45:20.144 -29.051321        40.35         50
2023-03-27 01:45:20.352 -28.967229        40.38         50
2023-03-27 01:45:20.567 -28.429040        40.38         50
2023-03-27 01:45:20.786 -28.916774        40.35         50
2023-03-27 01:45:20.994 -29.337234        40.38         50
2023-03-27 01:45:21.201 -29.387689        40.38         50
2023-03-27 01:45:21.409 -29.320416        40.35         50
2023-03-27 01:45:21.585 -30.094062        40.35         50
2023-03-27 01:45:21.794 -30.295883        40.38         50
2023-03-27 01:45:21.999 -30.951801        40.38         50
2023-03-27 01:45:22.198 -30.884527        40.38         50
2023-03-27 01:45:22.403 -29.993152        40.38         50
2023-03-27 01:45:22.611 -29.841786        40.38         50
2023-03-27 01:45:22.819 -29.303597        40.38         50
2023-03-27 01:45:23.028 -28.546769        40.35         50
2023-03-27 01:45:23.234 -28.277674        40.35         50
2023-03-27 01:45:23.444 -28.227219        40.35         50
2023-03-27 01:45:23.653 -28.176764        40.35         50
2023-03-27 01:45:23.858 -28.614042        40.35         50
2023-03-27 01:45:24.069 -28.630861        40.35         50
2023-03-27 01:45:24.276 -28.698134        40.35         50
2023-03-27 01:45:24.488 -28.950411        40.35         50
2023-03-27 01:45:24.705 -28.698134        40.35         50
2023-03-27 01:45:24.917 -29.169050        40.35         50
2023-03-27 01:45:25.125 -29.269960        40.35         50
2023-03-27 01:45:25.333 -29.337234        40.35         50
2023-03-27 01:45:25.507 -29.808149        40.35         50
2023-03-27 01:45:25.731 -29.824968        40.35         50
2023-03-27 01:45:25.924 -29.656784        40.35         50
2023-03-27 01:45:26.133 -29.841786        40.38         50
2023-03-27 01:45:26.326 -29.639965        40.38         50
2023-03-27 01:45:26.534 -30.413612        40.38         50
2023-03-27 01:45:26.743 -31.019075        40.38         50
2023-03-27 01:45:26.950 -30.783617        40.38         50
2023-03-27 01:45:27.158 -30.766799        40.38         50
2023-03-27 01:45:27.368 -30.632251        40.35         50
2023-03-27 01:45:27.575 -30.564978        40.38         50
2023-03-27 01:45:27.783 -30.329520        40.38         50
2023-03-27 01:45:27.992 -29.606328        40.38         50
2023-03-27 01:45:28.199 -28.529950        40.38         50
2023-03-27 01:45:28.408 -27.974943        40.35         50
2023-03-27 01:45:28.624 -27.722667        40.35         50
2023-03-27 01:45:28.841 -29.068139        40.35         50
2023-03-27 01:45:29.049 -29.488600        40.35         50
2023-03-27 01:45:29.255 -29.471781        40.35         50
2023-03-27 01:45:29.433 -29.606328        40.35         50
2023-03-27 01:45:29.638 -29.858605        40.35         50
2023-03-27 01:45:29.836 -30.497704        40.35         50
2023-03-27 01:45:30.040 -31.019075        40.35         50
2023-03-27 01:45:30.250 -30.884527        40.35         50
2023-03-27 01:45:30.457 -31.271351        40.35         50
2023-03-27 01:45:30.666 -31.708629        40.35         50
2023-03-27 01:45:30.874 -31.506808        40.35         50
2023-03-27 01:45:31.082 -31.708629        40.35         50
2023-03-27 01:45:31.290 -31.759085        40.35         50
2023-03-27 01:45:31.498 -31.523627        40.35         50
2023-03-27 01:45:31.707 -31.220896        40.35         50
2023-03-27 01:45:31.915 -30.783617        40.35         50
2023-03-27 01:45:32.124 -30.413612        40.35         50
2023-03-27 01:45:32.332 -31.254532        40.35         50
2023-03-27 01:45:32.546 -31.119985        40.35         50
2023-03-27 01:45:32.764 -31.187259        40.35         50
