rad;T;elevaz;;media;dev std
2896;40.22;45;;;
2883;40.22;45;;;
2886;40.22;45;;;
2892;40.22;45;;;
2891;40.22;45;;;
2891;40.22;45;;;
2912;40.22;45;;;
2927;40.22;45;;;
2920;40.22;45;;;
2932;40.22;45;;;
2925;40.22;45;;;
2928;40.22;45;;;
2926;40.22;45;;;
2937;40.22;45;;;
2922;40.22;45;;;
2933;40.22;45;;;
2932;40.22;45;;;
2933;40.22;45;;;
2923;40.22;45;;;
2924;40.22;45;;;
2922;40.22;45;;;
2934;40.22;45;;;
2911;40.22;45;;;
2898;40.22;45;;;
2906;40.22;45;;;
2896;40.22;45;;;
2906;40.22;45;;;
2914;40.22;45;;;
2886;40.22;45;;;
2882;40.22;45;;;
2881;40.22;45;;;
2883;40.22;45;;;
2901;40.22;45;;;
2902;40.22;45;;;
2908;40.22;45;;;
2911;40.22;45;;;
2909;40.22;45;;;
2911;40.22;45;;;
2893;40.22;45;;;
2910;40.22;45;;;
2901;40.22;45;;;
2893;40.22;45;;;
2895;40.26;45;;;
2891;40.26;45;;;
2899;40.26;45;;;
2917;40.26;45;;;
2894;40.26;45;;;
2911;40.26;45;;;
2917;40.26;45;;;
2913;40.26;45;;;
2902;40.26;45;;;
2930;40.26;45;;;
2933;40.26;45;;;
2921;40.26;45;;;
2928;40.26;45;;;
2942;40.26;45;;;
2941;40.29;45;;;
2959;40.29;45;;;
2951;40.29;45;;;
2966;40.29;45;;;
2962;40.29;45;;;
2962;40.29;45;;;
2963;40.29;45;;;
2966;40.29;45;;;
2975;40.29;45;;;
2961;40.29;45;;;
2955;40.29;45;;;
2971;40.29;45;;;
2953;40.32;45;;;
2920;40.32;45;;;
