rad;temperatura;elevazione;;;
3798;40.29;25;;;
3821;40.29;25;;;
3794;40.29;25;;;
3788;40.29;25;;;
3800;40.29;25;;;
3786;40.29;25;;;
3788;40.29;25;;;
3794;40.29;25;;;
3782;40.29;25;;;
3759;40.29;25;;;
3777;40.29;25;;;
3782;40.29;25;;;
3762;40.29;25;;;
3791;40.29;25;;;
3775;40.29;25;;;
3766;40.29;25;;;
3787;40.29;25;;;
3771;40.29;25;;;
3786;40.29;25;;;
3788;40.29;25;;;
3782;40.29;25;;;
3793;40.29;25;;;
3795;40.29;25;;;
3799;40.29;25;;;
3779;40.29;25;;;
3794;40.29;25;;;
3781;40.29;25;;;
3793;40.29;25;;;
3768;40.29;25;;;
3769;40.29;25;;;
3793;40.29;25;;;
3788;40.29;25;;;
3779;40.29;25;;;
3795;40.29;25;;;
3794;40.29;25;;;
3778;40.29;25;;;
3793;40.29;25;;;
3800;40.29;25;;;
3816;40.29;25;;;
3842;40.29;25;;;
3857;40.29;25;;;
3838;40.29;25;;;
3858;40.29;25;;;
3887;40.29;25;;;
3878;40.29;25;;;
3883;40.29;25;;;
3906;40.32;25;;;
3895;40.29;25;;;
3881;40.32;25;;;
3890;40.32;25;;;
3868;40.32;25;;;
3866;40.32;25;;;
3862;40.32;25;;;
3860;40.32;25;;;
3838;40.32;25;;;
3852;40.32;25;;;
3862;40.29;25;;;
3853;40.32;25;;;
3839;40.29;25;;;
3854;40.29;25;;;
3860;40.32;25;;;
3863;40.32;25;;;
3824;40.32;25;;;
3829;40.32;25;;;
3817;40.32;25;;;
3825;40.32;25;;;
3829;40.32;25;;;
3839;40.29;25;;;
3835;40.32;25;;;
3828;40.32;25;;;
3840;40.32;25;;;
3837;40.32;25;;;
3826;40.29;25;;;
3829;40.32;25;;;
3820;40.32;25;;;
3832;40.32;25;;;
3847;40.32;25;;;
3869;40.29;25;;;
3876;40.29;25;;;
3879;40.32;25;;;
3864;40.32;25;;;
3870;40.29;25;;;
3874;40.32;25;;;
3852;40.32;25;;;
3844;40.32;25;;;
3829;40.32;25;;;
3861;40.32;25;;;
3849;40.29;25;;;
3872;40.29;25;;;
3884;40.32;25;;;
3873;40.32;25;;;
3873;40.32;25;;;
3854;40.32;25;;;
3856;40.32;25;;;
3829;40.32;25;;;
3843;40.32;25;;;
3837;40.32;25;;;
3835;40.32;25;;;
3834;40.32;25;;;
3820;40.32;25;;;
3840;40.32;25;;;
3843;40.32;25;;;
3848;40.32;25;;;
3850;40.32;25;;;
3845;40.32;25;;;
3847;40.32;25;;;
3847;40.32;25;;;
3842;40.32;25;;;
3834;40.32;25;;;
3842;40.32;25;;;
3844;40.32;25;;;
3834;40.32;25;;;
3810;40.32;25;;;
3814;40.32;25;;;
3821;40.32;25;;;
3808;40.32;25;;;
3806;40.32;25;;;
3812;40.32;25;;;
3819;40.32;25;;;
3815;40.32;25;;;
3812;40.32;25;;;
3802;40.32;25;;;
3790;40.32;25;;;
3799;40.32;25;;;
3783;40.32;25;;;
3775;40.35;25;;;
3763;40.35;25;;;
3746;40.35;25;;;
3762;40.35;25;;;
3753;40.32;25;;;
3753;40.35;25;;;
3733;40.35;25;;;
3729;40.35;25;;;
3732;40.35;25;;;
3752;40.35;25;;;
3725;40.35;25;;;
3726;40.35;25;;;
3723;40.35;25;;;
3733;40.35;25;;;
3726;40.35;25;;;
3744;40.35;25;;;
3736;40.35;25;;;
3743;40.35;25;;;
3736;40.35;25;;;
3733;40.35;25;;;
3750;40.35;25;;;
3752;40.35;25;;;
3744;40.35;25;;;
3762;40.35;25;;;
3750;40.35;25;;;
3763;40.35;25;;;
3760;40.35;25;;;
3762;40.35;25;;;
3753;40.35;25;;;
3773;40.35;25;;;
3756;40.35;25;;;
3762;40.35;25;;;
3767;40.35;25;;;
3775;40.35;25;;;
3766;40.35;25;;;
3758;40.35;25;;;
3766;40.35;25;;;
3760;40.32;25;;;
3770;40.32;25;;;
3763;40.32;25;;;
3756;40.32;25;;;
3770;40.32;25;;;
3781;40.32;25;;;
3781;40.32;25;;;
3769;40.32;25;;;
3783;40.32;25;;;
3802;40.32;25;;;
3797;40.32;25;;;
3794;40.32;25;;;
3778;40.32;25;;;
3768;40.32;25;;;
3764;40.32;25;;;
3748;40.32;25;;;
3746;40.32;25;;;
3751;40.32;25;;;
3749;40.32;25;;;
3758;40.32;25;;;
3744;40.32;25;;;
3759;40.32;25;;;
3756;40.32;25;;;
3750;40.32;25;;;
3735;40.32;25;;;
3731;40.32;25;;;
3723;40.32;25;;;
3711;40.32;25;;;
3707;40.32;25;;;
3699;40.29;25;;;
3686;40.32;25;;;
3696;40.32;25;;;
3702;40.32;25;;;
3685;40.32;25;;;
3693;40.29;25;;;
3690;40.29;25;;;
3701;40.29;25;;;
3720;40.29;25;;;
3723;40.29;25;;;
3733;40.29;25;;;
3710;40.29;25;;;
3724;40.29;25;;;
3718;40.29;25;;;
3723;40.29;25;;;
3725;40.29;25;;;
3715;40.29;25;;;
3737;40.29;25;;;
3723;40.29;25;;;
3716;40.29;25;;;
3721;40.29;25;;;
3721;40.26;25;;;
3740;40.26;25;;;
3722;40.26;25;;;
3728;40.26;25;;;
3727;40.26;25;;;
3726;40.26;25;;;
3732;40.26;25;;;
3723;40.26;25;;;
3731;40.26;25;;;
3731;40.26;25;;;
3717;40.26;25;;;
3729;40.26;25;;;
3721;40.26;25;;;
3748;40.26;25;;;
3746;40.26;25;;;
3745;40.26;25;;;
3757;40.26;25;;;
3754;40.26;25;;;
3778;40.26;25;;;
3790;40.26;25;;;
3778;40.26;25;;;
3819;40.26;25;;;
3814;40.26;25;;;
3831;40.26;25;;;
3835;40.26;25;;;
3821;40.26;25;;;
3822;40.26;25;;;
3805;40.26;25;;;
3805;40.26;25;;;
3796;40.26;25;;;
3815;40.22;25;;;
3797;40.22;25;;;
3780;40.22;25;;;
3790;40.22;25;;;
3797;40.22;25;;;
3793;40.22;25;;;
3800;40.22;25;;;
3812;40.26;25;;;
3811;40.22;25;;;
3805;40.22;25;;;
3818;40.22;25;;;
3815;40.22;25;;;
3806;40.22;25;;;
3804;40.22;25;;;
3788;40.22;25;;;
3797;40.22;25;;;
3810;40.22;25;;;
3826;40.22;25;;;
3818;40.22;25;;;
3811;40.22;25;;;
3819;40.22;25;;;
3846;40.22;25;;;
3847;40.22;25;;;
3848;40.22;25;;;
3845;40.22;25;;;
3827;40.22;25;;;
3813;40.22;25;;;
3809;40.22;25;;;
3804;40.22;25;;;
3800;40.22;25;;;
3781;40.22;25;;;
3789;40.22;25;;;
3783;40.22;25;;;
3782;40.22;25;;;
3767;40.22;25;;;
3772;40.22;25;;;
3779;40.22;25;;;
3752;40.22;25;;;
